config	fold	mean_all_auc
seed20260700_pca512_k700	1	0.8946322338238698
seed20260700_pca512_k700	2	0.9029908654042501
seed20260700_pca512_k700	3	0.8654859305444002
seed20260700_pca512_k700	4	0.8952448371155913
seed20260700_pca512_k700	5	0.9002018879249196
seed20260701_pca768_k900	1	0.8873082211361749
seed20260701_pca768_k900	2	0.8870087261935554
seed20260701_pca768_k900	3	0.8785956409872442
seed20260701_pca768_k900	4	0.915882761343371
seed20260701_pca768_k900	5	0.8908713919353958
seed20260702_pca384_k550	1	0.9078644649250582
seed20260702_pca384_k550	2	0.9021468342023224
seed20260702_pca384_k550	3	0.8641382033026124
seed20260702_pca384_k550	4	0.8984576010455096
seed20260702_pca384_k550	5	0.9162437933104163
