profile	evaluation_species	split	selected_method	threshold	feature_count	bio_feature_count	auc	auprc	sensitivity	specificity	precision	f1	tp	fp	tn	fn
sequence_plm_go	rice	validation	logit_mean	0.2127634584903717	6725	69	0.7824675324675324	0.7129437670270621	0.8	0.4935064935064935	0.4507042253521127	0.5765765765765766	32	39	38	8
sequence_plm_go	rice	test	logit_mean	0.2127634584903717	6725	69	0.8383116883116883	0.7320787324295487	0.9	0.6103896103896104	0.5454545454545454	0.6792452830188679	36	30	47	4
sequence_plm_go	arabidopsis	validation	logit_mean	0.2127634584903717	6725	69	0.8725609756097561	0.7984631455941317	0.8	0.7560975609756098	0.5161290322580645	0.6274509803921569	32	30	93	8
sequence_plm_go	arabidopsis	test	logit_mean	0.2127634584903717	6725	69	0.910569105691057	0.800650564706716	0.85	0.7479674796747967	0.5230769230769231	0.6476190476190476	34	31	92	6
sequence_plm_ppi	rice	validation	meta	0.4186528652660325	6701	45	0.7951298701298702	0.704979277002972	0.875	0.4025974025974026	0.4320987654320987	0.5785123966942148	35	46	31	5
sequence_plm_ppi	rice	test	meta	0.4186528652660325	6701	45	0.8444805194805195	0.7652574162834079	0.925	0.5714285714285714	0.5285714285714286	0.6727272727272727	37	33	44	3
sequence_plm_ppi	arabidopsis	validation	meta	0.4186528652660325	6701	45	0.8231707317073171	0.6902407299198572	0.8	0.6097560975609756	0.4	0.5333333333333333	32	48	75	8
sequence_plm_ppi	arabidopsis	test	meta	0.4186528652660325	6701	45	0.7853658536585365	0.5992336629601179	0.775	0.5934959349593496	0.382716049382716	0.512396694214876	31	50	73	9
sequence_plm_expression	rice	validation	meta	0.468656795695399	6703	47	0.8243506493506494	0.7506004720614131	0.875	0.5714285714285714	0.5147058823529411	0.6481481481481481	35	33	44	5
sequence_plm_expression	rice	test	meta	0.468656795695399	6703	47	0.8639610389610389	0.7892201176757744	0.9	0.5844155844155844	0.5294117647058824	0.6666666666666666	36	32	45	4
sequence_plm_expression	arabidopsis	validation	meta	0.468656795695399	6703	47	0.8371951219512195	0.6842329151516378	0.8	0.7398373983739838	0.5	0.6153846153846154	32	32	91	8
sequence_plm_expression	arabidopsis	test	meta	0.468656795695399	6703	47	0.7949186991869919	0.5508772105392717	0.75	0.6910569105691057	0.4411764705882353	0.5555555555555556	30	38	85	10
sequence_plm_go_ppi	rice	validation	meta	0.4771289667113617	6727	71	0.7902597402597402	0.6946187060761422	0.825	0.5324675324675324	0.4782608695652174	0.6055045871559633	33	36	41	7
sequence_plm_go_ppi	rice	test	meta	0.4771289667113617	6727	71	0.8441558441558442	0.746560760390426	0.9	0.6233766233766234	0.5538461538461539	0.6857142857142857	36	29	48	4
sequence_plm_go_ppi	arabidopsis	validation	meta	0.4771289667113617	6727	71	0.8739837398373984	0.7990498397063718	0.8	0.7642276422764228	0.5245901639344263	0.6336633663366337	32	29	94	8
sequence_plm_go_ppi	arabidopsis	test	meta	0.4771289667113617	6727	71	0.900609756097561	0.7873008269542973	0.85	0.7479674796747967	0.5230769230769231	0.6476190476190476	34	31	92	6
sequence_plm_go_expression	rice	validation	meta	0.4985608267298507	6729	73	0.8250000000000001	0.7469873823416141	0.85	0.5584415584415584	0.5	0.6296296296296297	34	34	43	6
sequence_plm_go_expression	rice	test	meta	0.4985608267298507	6729	73	0.8688311688311688	0.7971961284877934	0.875	0.5974025974025974	0.5303030303030303	0.660377358490566	35	31	46	5
sequence_plm_go_expression	arabidopsis	validation	meta	0.4985608267298507	6729	73	0.8829268292682927	0.8091227442965322	0.8	0.8536585365853658	0.64	0.7111111111111111	32	18	105	8
sequence_plm_go_expression	arabidopsis	test	meta	0.4985608267298507	6729	73	0.908739837398374	0.8023266570418753	0.825	0.7804878048780488	0.55	0.66	33	27	96	7
sequence_plm_ppi_expression	rice	validation	meta	0.4602385058311342	6705	49	0.826948051948052	0.7507847575746073	0.875	0.5714285714285714	0.5147058823529411	0.6481481481481481	35	33	44	5
sequence_plm_ppi_expression	rice	test	meta	0.4602385058311342	6705	49	0.871103896103896	0.8036953453639385	0.925	0.5844155844155844	0.5362318840579711	0.6788990825688074	37	32	45	3
sequence_plm_ppi_expression	arabidopsis	validation	meta	0.4602385058311342	6705	49	0.8400406504065041	0.6948592696927902	0.825	0.7317073170731707	0.5	0.6226415094339622	33	33	90	7
sequence_plm_ppi_expression	arabidopsis	test	meta	0.4602385058311342	6705	49	0.7922764227642276	0.5592315924494592	0.775	0.6666666666666666	0.4305555555555556	0.5535714285714286	31	41	82	9
sequence_plm_go_ppi_expression	rice	validation	meta	0.5072612279098102	6731	75	0.8262987012987013	0.7423601539521671	0.85	0.5974025974025974	0.5230769230769231	0.6476190476190476	34	31	46	6
sequence_plm_go_ppi_expression	rice	test	meta	0.5072612279098102	6731	75	0.8724025974025974	0.8054203356443351	0.9	0.6103896103896104	0.5454545454545454	0.6792452830188679	36	30	47	4
sequence_plm_go_ppi_expression	arabidopsis	validation	meta	0.5072612279098102	6731	75	0.883739837398374	0.8156805825729105	0.8	0.8536585365853658	0.64	0.7111111111111111	32	18	105	8
sequence_plm_go_ppi_expression	arabidopsis	test	meta	0.5072612279098102	6731	75	0.9079268292682928	0.8011383962582468	0.825	0.7642276422764228	0.532258064516129	0.6470588235294118	33	29	94	7
full_uploadable_without_cross_species_homologs	rice	validation	meta	0.44202938875419195	6751	95	0.8233766233766234	0.7545905532990134	0.85	0.5454545454545454	0.4927536231884058	0.6238532110091743	34	35	42	6
full_uploadable_without_cross_species_homologs	rice	test	meta	0.44202938875419195	6751	95	0.8922077922077922	0.841100578758318	0.95	0.5714285714285714	0.5352112676056338	0.6846846846846847	38	33	44	2
full_uploadable_without_cross_species_homologs	arabidopsis	validation	meta	0.44202938875419195	6751	95	0.9128048780487805	0.8368590682107475	0.85	0.8211382113821138	0.6071428571428571	0.7083333333333334	34	22	101	6
full_uploadable_without_cross_species_homologs	arabidopsis	test	meta	0.44202938875419195	6751	95	0.916260162601626	0.829917149053012	0.9	0.7317073170731707	0.5217391304347826	0.6605504587155964	36	33	90	4
