config	fold	mean_all_auc
seed20260700_pca512_k700	1	0.8222089113358836
seed20260700_pca512_k700	2	0.85063370407177
seed20260700_pca512_k700	3	0.7936615979416529
seed20260700_pca512_k700	4	0.8324325796043944
seed20260700_pca512_k700	5	0.833087793965188
seed20260701_pca768_k900	1	0.8537920143757572
seed20260701_pca768_k900	2	0.8059545039955348
seed20260701_pca768_k900	3	0.8171991777502483
seed20260701_pca768_k900	4	0.860571490804144
seed20260701_pca768_k900	5	0.8149860861024718
seed20260702_pca384_k550	1	0.8468764038825435
seed20260702_pca384_k550	2	0.8401786078930531
seed20260702_pca384_k550	3	0.8009175435969342
seed20260702_pca384_k550	4	0.8359176116639666
seed20260702_pca384_k550	5	0.8603290227533148
