config	fold	mean_all_auc
seed20260700_pca512_k700	1	0.8482377445308138
seed20260700_pca512_k700	2	0.8629810637515826
seed20260700_pca512_k700	3	0.811236505710824
seed20260700_pca512_k700	4	0.8476523680520577
seed20260700_pca512_k700	5	0.8436869100234625
seed20260701_pca768_k900	1	0.8591012429040118
seed20260701_pca768_k900	2	0.8238289067073253
seed20260701_pca768_k900	3	0.8294648569911649
seed20260701_pca768_k900	4	0.8776154757204895
seed20260701_pca768_k900	5	0.8355568287226497
seed20260702_pca384_k550	1	0.8521175653783846
seed20260702_pca384_k550	2	0.8521584055978326
seed20260702_pca384_k550	3	0.8203302612412704
seed20260702_pca384_k550	4	0.8505656370393563
seed20260702_pca384_k550	5	0.8754296938942545
