config	fold	mean_all_auc
seed20260700_pca512_k700	1	0.8596593925698028
seed20260700_pca512_k700	2	0.8920048463727078
seed20260700_pca512_k700	3	0.8398791129504336
seed20260700_pca512_k700	4	0.8759274133166342
seed20260700_pca512_k700	5	0.885469525836198
seed20260701_pca768_k900	1	0.8758185060647725
seed20260701_pca768_k900	2	0.8595640987244237
seed20260701_pca768_k900	3	0.8743890983840885
seed20260701_pca768_k900	4	0.8958846672202785
seed20260701_pca768_k900	5	0.8616658482021061
seed20260702_pca384_k550	1	0.8948228215146276
seed20260702_pca384_k550	2	0.8791401772465522
seed20260702_pca384_k550	3	0.8471350586057149
seed20260702_pca384_k550	4	0.8847216739044611
seed20260702_pca384_k550	5	0.8989605500081846
