config	fold	mean_all_auc
seed20260700_pca512_k700	1	0.863144424629375
seed20260700_pca512_k700	2	0.8921818206569829
seed20260700_pca512_k700	3	0.8399199531698816
seed20260700_pca512_k700	4	0.8784186667029691
seed20260700_pca512_k700	5	0.8868881977410378
seed20260701_pca768_k900	1	0.8750425418952583
seed20260701_pca768_k900	2	0.8660713070231564
seed20260701_pca768_k900	3	0.8753420368378779
seed20260701_pca768_k900	4	0.8948772751405583
seed20260701_pca768_k900	5	0.8630163147269058
seed20260702_pca384_k550	1	0.8981036524769592
seed20260702_pca384_k550	2	0.8780783315409015
seed20260702_pca384_k550	3	0.8488095076030875
seed20260702_pca384_k550	4	0.8817131110717835
seed20260702_pca384_k550	5	0.8986195231079828
