config	fold	mean_all_auc
seed20260700_pca512_k700	1	0.8828566372163307
seed20260700_pca512_k700	2	0.8951359298637297
seed20260700_pca512_k700	3	0.855003607552718
seed20260700_pca512_k700	4	0.8894591393604421
seed20260700_pca512_k700	5	0.8966006438587876
seed20260701_pca768_k900	1	0.8747158201396734
seed20260701_pca768_k900	2	0.879385218563241
seed20260701_pca768_k900	3	0.8787726152715194
seed20260701_pca768_k900	4	0.9053323713192752
seed20260701_pca768_k900	5	0.8765755442789329
seed20260702_pca384_k550	1	0.903222293314456
seed20260702_pca384_k550	2	0.8910382945124358
seed20260702_pca384_k550	3	0.8618375376070353
seed20260702_pca384_k550	4	0.8915556039587785
seed20260702_pca384_k550	5	0.9090685873301686
