config	fold	mean_all_auc
seed20260700_pca512_k700	1	0.8251357937296648
seed20260700_pca512_k700	2	0.8510421062662509
seed20260700_pca512_k700	3	0.797241923846604
seed20260700_pca512_k700	4	0.8360809725417591
seed20260700_pca512_k700	5	0.8342200032738583
seed20260701_pca768_k900	1	0.8508515185754932
seed20260701_pca768_k900	2	0.8154294349074968
seed20260701_pca768_k900	3	0.8163143063288727
seed20260701_pca768_k900	4	0.8635800536368214
seed20260701_pca768_k900	5	0.814495007366181
seed20260702_pca384_k550	1	0.8503205957226676
seed20260702_pca384_k550	2	0.8389534013096097
seed20260702_pca384_k550	3	0.8077787004642171
seed20260702_pca384_k550	4	0.8376329008807875
seed20260702_pca384_k550	5	0.8593195831287173
