config	fold	mean_all_auc
seed20260700_pca512_k700	1	0.8495718583661189
seed20260700_pca512_k700	2	0.8622459398015165
seed20260700_pca512_k700	3	0.8130607021795063
seed20260700_pca512_k700	4	0.847175898825163
seed20260700_pca512_k700	5	0.8449828122442297
seed20260701_pca768_k900	1	0.8593054440012523
seed20260701_pca768_k900	2	0.8286208257892373
seed20260701_pca768_k900	3	0.8268238561335203
seed20260701_pca768_k900	4	0.8743346447581578
seed20260701_pca768_k900	5	0.8364571397391827
seed20260702_pca384_k550	1	0.855507303592578
seed20260702_pca384_k550	2	0.8495854717726017
seed20260702_pca384_k550	3	0.8234477313258095
seed20260702_pca384_k550	4	0.8536422669044474
seed20260702_pca384_k550	5	0.8710918317236864
