gene_id	consensus_classification	label	source_count	sources	label_source	teacher_meta_probability	experimental_has_conflict	split	training_component	species
AT1G01060	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G01370	essential	1	3	embryo_defect_xlsx_lethal_sheet;literature_classification;ogee_essentiality	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G01510	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G01690	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G02120	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G02280	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G02340	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G02560	essential	1	3	embryo_defect_xlsx_lethal_sheet;literature_classification;ogee_essentiality	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G02780	essential	1	3	embryo_defect_xlsx_lethal_sheet;literature_classification;ogee_essentiality	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G02910	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G02970	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G03000	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G03060	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G03310	nonessential	0	4	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;ogee_essentiality;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G03360	essential	1	3	embryo_defect_xlsx_lethal_sheet;literature_classification;ogee_essentiality	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G03475	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G03790	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G03980	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G04020	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G04030	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G04080	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G04160	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G04220	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G04250	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G04400	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G04510	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G04520	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G04580	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G04635	essential	1	3	embryo_defect_xlsx_lethal_sheet;literature_classification;ogee_essentiality	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G04870	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G04950	essential	1	5	TAIR_Locus_Germplasm_Phenotype_20130122;embryo_defect_xlsx_lethal_sheet;literature_classification;ogee_essentiality;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G05190	essential	1	3	embryo_defect_xlsx_lethal_sheet;literature_classification;ogee_essentiality	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G05560	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G05630	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G05690	essential	1	3	TAIR_Locus_Germplasm_Phenotype_20130122;ogee_essentiality;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G05850	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G06040	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G06290	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G06430	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G06770	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G06950	essential	1	3	embryo_defect_xlsx_lethal_sheet;literature_classification;ogee_essentiality	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G07130	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G07320	essential	1	3	embryo_defect_xlsx_lethal_sheet;literature_classification;ogee_essentiality	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G07530	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G07630	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G08030	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G08130	essential	1	3	embryo_defect_xlsx_lethal_sheet;literature_classification;ogee_essentiality	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G08370	essential	1	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G08430	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G08450	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G08510	essential	1	3	embryo_defect_xlsx_lethal_sheet;literature_classification;ogee_essentiality	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G08550	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G08560	essential	1	3	embryo_defect_xlsx_lethal_sheet;literature_classification;ogee_essentiality	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G08630	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G08840	essential	1	3	embryo_defect_xlsx_lethal_sheet;literature_classification;ogee_essentiality	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G08980	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G09090	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G09200	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G09270	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G09330	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G09530	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G09540	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G09560	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G09570	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G09770	essential	1	3	embryo_defect_xlsx_lethal_sheet;literature_classification;ogee_essentiality	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G09780	essential	1	2	TAIR_Locus_Germplasm_Phenotype_20130122;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G09940	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G10170	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G10270	essential	1	5	TAIR_Locus_Germplasm_Phenotype_20130122;embryo_defect_xlsx_lethal_sheet;literature_classification;ogee_essentiality;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G10310	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G10470	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G10520	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G10570	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G10760	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G10920	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G10930	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G11130	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G11680	essential	1	5	TAIR_Locus_Germplasm_Phenotype_20130122;embryo_defect_xlsx_lethal_sheet;literature_classification;ogee_essentiality;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G11720	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G11755	essential	1	4	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;ogee_essentiality;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G12010	nonessential	0	2	TAIR_Locus_Germplasm_Phenotype_20130122;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G12240	nonessential	0	3	TAIR_Locus_Germplasm_Phenotype_20130122;literature_classification;phenotype_screen_csv	original_consensus_2plus		no	train	core1623_train80	arabidopsis
AT1G12260	essential	1	3	embryo_defect_xlsx_lethal_sheet;literature_classification;ogee_essentiality	original_consensus_2plus		no	train	core1623_train80	arabidopsis
